user_id,true_sigma,true_rho,true_expected_mssd,empirical_mssd,rho_hat,sigma_hat,n_ema_answered,n_ema_total,send_prompt_count
063ccc2d-5c76-4a56-898a-e8ce78dd170f,0.3325756702740055,0.1383046212095563,0.1906183515957325,0.15789473684210525,0.26380368098159507,0.3378319623460881,24,35,1
0c61232c-daa7-4a68-83f8-fda46ec0da2c,0.3525303883667959,0.1140207108119518,0.2202148918243599,0.2,-0.05405405405405408,0.35186577527449836,15,35,1
0d9d528b-c1f4-450c-af1e-e30e3b7e38d5,0.5031639611507611,0.4541750201487859,0.276377356114183,0.5384615384615384,0.23376285305219313,0.6355634403421168,29,35,1
0de476ef-fc31-4254-963d-be1e475d79ae,1.246431653752965,0.6054311856231964,1.225997802351965,0.4827586206896552,0.7106299911268855,0.9989241524588298,31,35,1
118f54a4-cab5-44d2-a756-41db971f5808,1.4250743001623187,0.2942879603028996,2.8663719057705044,1.7083333333333333,0.35025435653209214,1.2887857312092887,27,35,1
159fc037-bfb1-4509-835f-7b6f7b82622a,0.5107488013359024,0.3643091171713296,0.3316581627274622,0.4666666666666667,-0.004958677685950383,0.4955946277833521,19,35,0
15aac22e-f5e2-45f3-b9c3-6b112b39b639,1.240247171843084,0.220674395193329,2.3975376267622552,1.8888888888888888,0.0097629009762901,1.0080138659874618,30,35,1
1e1d25b0-22f4-4e5f-acaa-757e2f67a8b1,1.4907106426315484,0.2376811634402655,3.388077616188288,1.9565217391304348,0.4349247874427731,1.3117917978085243,27,35,1
1fc2e9b9-c6e0-47a2-9e6a-793bc6836523,0.9936855783030918,0.1992903458511969,1.5812590863100169,1.25,0.25035595633602276,0.9214135059802677,27,35,1
2051183b-6b31-4b96-88da-7f1a3082a2cd,0.9280075549688912,0.1459976562003308,1.4709302586627906,0.88,0.2563840653728294,0.7663560447348134,28,35,1
2241165b-cc88-40b9-b53f-8d042a305149,0.6574829685630773,0.6769821828081314,0.2792707738207687,0.3,0.700984589041096,0.6671399834935375,33,35,1
24495ab3-cee7-4d9d-9933-46530831788b,1.0031322178082729,0.6766857440279925,0.6506856185604138,0.8148148148148148,0.46326582927454496,0.9218208581830206,29,35,1
24562ef3-1f67-464b-a9e1-fc519b9cb530,1.1685670210944052,0.325532528372185,1.8420366047183785,1.793103448275862,0.06687228375157718,0.981687158630159,32,35,1
252ee416-922f-4450-85f1-f3e6d92f7b94,1.380244395278202,0.6245022681023843,1.430702375804921,1.0740740740740742,0.49393456684229875,1.0063019815944514,30,35,1
2688fc02-bde8-405c-b919-1e6b53ebf83a,1.355800331076925,0.2701640165100483,2.683161036606775,1.1304347826086956,0.29666500746640134,1.0127393670836664,27,35,1
28024eda-e12b-40a4-aafd-d08657a4f216,0.6097356897273276,0.3840395094747918,0.4580006396788584,0.3448275862068966,0.3203239081375282,0.5226714875243987,32,35,1
290c1d4f-33d7-4e50-bcb1-6f22ef7be18d,0.9890715547623504,0.46368050543295,1.049322542485332,1.5384615384615385,0.054021401449775616,0.8822273647720916,29,35,1
33ac80b1-85c1-42a3-8522-a9903f0a5118,1.2430312290314538,0.7783952122659967,0.6848149205398607,0.6875,0.6955263743601158,0.976328005472037,19,35,0
3b0be2c8-f676-41bd-ae94-94910a2ca1c5,0.9341893742042432,0.6345551678613482,0.6378545631414013,0.5555555555555556,0.506374298827129,0.7963662060880876,22,35,0
3c62fa27-db73-4b89-ad9b-fe58a81e310f,1.0213786992169391,0.472633860970976,1.1003119504131809,1.7083333333333333,0.16618911174785098,1.0127393670836666,27,35,1
3c6477ac-702c-4f50-9104-d65e62b31821,0.4894571828480799,0.5228427981777073,0.2286235116421531,0.4827586206896552,-0.08158508158508158,0.4918693768379647,32,35,1
3d6e11d0-e9de-4351-a4c5-00798cc90812,1.2239266075895827,0.6117834487250574,1.163093946469122,0.6451612903225806,0.7428874985243774,1.1214168527250505,33,35,1
411a416b-7640-4986-b16b-4eeabf355646,0.5691818671512571,0.2274068096660136,0.5005909381177568,0.7931034482758621,0.24369633365135612,0.722897396012249,31,35,1
41a62e40-fd7a-4264-8759-d1dfeb693f52,1.242504732604738,0.4923340682377833,1.567487617589412,1.3125,0.284168012924071,0.9734572654303051,21,35,1
434a3e13-a8ae-489a-8f9a-f54c50baba8a,1.0158648323614647,0.3022042691838425,1.4402243712704594,0.5238095238095238,0.7918547497241449,0.9451631252505216,25,35,1
44bc46cf-4671-4556-8039-2b14ef029985,0.8665395016978242,0.4034968526162827,0.8958173413296128,0.7307692307692307,0.4104997900041999,0.7831350411077501,29,35,1
4a7ffd59-7249-4cdb-a7b9-c068dc9043cb,1.48975173057751,0.1677106188126366,3.694299886205035,2.3225806451612905,0.4086909305779582,1.3946597282404614,33,35,1
4bccb05d-cc51-4b6b-b0c6-bb287e5e41b3,0.9149253374808752,0.5987663313656792,0.67173607787185,0.875,0.4042991755005889,0.8444006618414981,34,35,1
515b82ff-cf12-470a-8f41-5135ad7a4605,1.2655990083217834,0.6216288304211397,1.2121051174513773,0.7666666666666667,0.3888888888888889,0.8032193289024988,32,35,1
53106302-1b2c-4b42-a6e5-71898da40c62,0.5104250922382838,0.5309092920739551,0.244427945706451,0.5,0.1230769230769231,0.5466722735905339,30,35,1
5852cb2d-cd92-40ab-b8f8-a83ca0a8d3a2,0.9330466027757108,0.6326905911253061,0.6395414846643154,0.4,0.36312849162011174,0.5835920751217648,24,35,1
585e4216-3f67-4520-aa52-b59ea9798a58,0.9146463800333972,0.3525943572784092,1.0832106362115062,1.28125,0.38331632653061226,1.0294244969928161,34,35,1
5c44094d-1fdb-497e-8d78-456a2f093ed0,0.921866613047504,0.3624009943599059,1.0837117941415664,1.4444444444444444,0.4407696933253158,1.19433528860584,30,35,1
60f2c7a9-1a61-4afc-8aed-e31d6b00f1df,0.9222959650595444,0.1557577803624867,1.4362752605211928,1.78125,-0.051730531520395605,0.9274002918091905,34,35,1
638a833d-5b92-45cd-a138-376398dc6186,0.3859471281678173,0.7461569478015321,0.075622477978563,0.05263157894736842,-0.0065359477124183355,0.21320071635561047,22,35,1
65e568d1-341c-4be6-a315-39cfa4946f81,0.9051154638847446,0.4809298032167897,0.8504799102593107,0.8620689655172413,0.3930695099446381,0.8400268812903089,32,35,1
6d4dfe43-a152-4cd3-b41b-3b73d2592fdc,0.8661227945974769,0.4240338421557736,0.8641435623585001,0.6206896551724138,0.2948198025862729,0.6591477880199651,32,35,1
7472f58b-bfeb-48a3-87e8-feea303444f5,0.4837548561959431,0.564975316766889,0.2036078746563021,0.16666666666666666,0.40310077519379867,0.504524979109513,11,35,1
7569d6c3-5f55-4eb9-bc78-e6b35803abb0,0.5515593481078194,0.3095327360312188,0.420104745942757,0.5172413793103449,0.08624708624708624,0.5535807194106618,32,35,0
